QuickSort
Unsorted
test3.dat,1000,5
test3a.dat,2000,4
test3b.dat,5000,4
test4.dat,10000,7
test4a.dat,20000,10
test4b.dat,50000,20
test5.dat,100000,47
test5a.dat,200000,101
test5b.dat,500000,317
test6.dat,1000000,733
test6a.dat,2000000,1658
test6b.dat,5000000,5014
Sorted
test3-sorted.dat,1000,0
test3a-sorted.dat,2000,0
test3b-sorted.dat,5000,1
test4-sorted.dat,10000,1
test4a-sorted.dat,20000,3
test4b-sorted.dat,50000,8
test5-sorted.dat,100000,16
test5a-sorted.dat,200000,35
test5b-sorted.dat,500000,96
test6-sorted.dat,1000000,205
test6a-sorted.dat,2000000,439
test6b-sorted.dat,5000000,1244
Reversed
test3-reversed.dat,1000,2
test3a-reversed.dat,2000,6
test3b-reversed.dat,5000,36
test4-reversed.dat,10000,89
test4a-reversed.dat,20000,205
test4b-reversed.dat,50000,630
test5-reversed.dat,100000,980
test5a-reversed.dat,200000,1565
test5b-reversed.dat,500000,1796
test6-reversed.dat,1000000,2941
test6a-reversed.dat,2000000,3756
test6b-reversed.dat,5000000,4830
