RadixSort
Unsorted
test3.dat,1000,8
test3a.dat,2000,12
test3b.dat,5000,10
test4.dat,10000,4
test4a.dat,20000,8
test4b.dat,50000,24
test5.dat,100000,99
test5a.dat,200000,184
test5b.dat,500000,517
test6.dat,1000000,1148
test6a.dat,2000000,2217
test6b.dat,5000000,7628
Sorted
test3-sorted.dat,1000,1
test3a-sorted.dat,2000,0
test3b-sorted.dat,5000,1
test4-sorted.dat,10000,2
test4a-sorted.dat,20000,5
test4b-sorted.dat,50000,14
test5-sorted.dat,100000,108
test5a-sorted.dat,200000,109
test5b-sorted.dat,500000,276
test6-sorted.dat,1000000,710
test6a-sorted.dat,2000000,1555
test6b-sorted.dat,5000000,6999
Reversed
test3-reversed.dat,1000,0
test3a-reversed.dat,2000,1
test3b-reversed.dat,5000,1
test4-reversed.dat,10000,3
test4a-reversed.dat,20000,5
test4b-reversed.dat,50000,14
test5-reversed.dat,100000,44
test5a-reversed.dat,200000,110
test5b-reversed.dat,500000,329
test6-reversed.dat,1000000,629
test6a-reversed.dat,2000000,1983
test6b-reversed.dat,5000000,9245
