SelectionSort
Unsorted
test3.dat,1000,15
test3a.dat,2000,12
test3b.dat,5000,72
test4.dat,10000,328
test4a.dat,20000,1346
test4b.dat,50000,9477
Sorted
test3-sorted.dat,1000,3
test3a-sorted.dat,2000,9
test3b-sorted.dat,5000,55
test4-sorted.dat,10000,224
test4a-sorted.dat,20000,917
test4b-sorted.dat,50000,5744
Reversed
test3-reversed.dat,1000,3
test3a-reversed.dat,2000,15
test3b-reversed.dat,5000,106
test4-reversed.dat,10000,464
test4a-reversed.dat,20000,1872
test4b-reversed.dat,50000,11682

