ShellSort
Unsorted
test3.dat,1000,5
test3a.dat,2000,2
test3b.dat,5000,2
test4.dat,10000,4
test4a.dat,20000,10
test4b.dat,50000,30
test5.dat,100000,92
test5a.dat,200000,247
test5b.dat,500000,825
test6.dat,1000000,1927
test6a.dat,2000000,4221
test6b.dat,5000000,13242
Sorted
test3-sorted.dat,1000,0
test3a-sorted.dat,2000,0
test3b-sorted.dat,5000,1
test4-sorted.dat,10000,2
test4a-sorted.dat,20000,3
test4b-sorted.dat,50000,7
test5-sorted.dat,100000,15
test5a-sorted.dat,200000,36
test5b-sorted.dat,500000,96
test6-sorted.dat,1000000,204
test6a-sorted.dat,2000000,411
test6b-sorted.dat,5000000,1235
Reversed
test3-reversed.dat,1000,0
test3a-reversed.dat,2000,0
test3b-reversed.dat,5000,1
test4-reversed.dat,10000,2
test4a-reversed.dat,20000,4
test4b-reversed.dat,50000,9
test5-reversed.dat,100000,21
test5a-reversed.dat,200000,49
test5b-reversed.dat,500000,131
test6-reversed.dat,1000000,280
test6a-reversed.dat,2000000,549
test6b-reversed.dat,5000000,1672
